version,alert,anomaly,dhcp,dnp3,dns,drop,email,fileinfo,flow,ftp,ftp-data,http,ikev2,krb5,metadata,netflow,nfs,packet_info,rdp,rpc,sip,smb,smtp,snmp,ssh,stats,stats-delta,tcp,tftp,tls,toplevel,tunnel,vars
2.0,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.1,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.2,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.3,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.4,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.5,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.6,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.7,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.8,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.9,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.10,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
2.0.11,7,0,0,0,7,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,12,0,2
3.0,7,0,0,0,9,0,7,8,10,0,0,10,0,0,0,5,0,0,0,0,0,0,3,0,4,64,62,12,0,5,19,0,2
3.0.1,7,0,0,0,9,15,7,8,10,0,0,10,0,0,0,5,0,0,0,0,0,0,3,0,4,70,68,12,0,5,19,0,2
3.0.2,7,0,0,0,9,15,7,8,10,0,0,10,0,0,0,5,0,0,0,0,0,0,3,0,4,70,68,12,0,5,19,0,2
3.1,7,0,0,0,9,15,7,8,10,0,0,10,0,0,0,5,0,0,0,0,0,0,3,0,4,70,68,12,0,5,19,0,2
3.1.1,7,0,0,0,9,15,7,8,10,0,0,10,0,0,0,5,0,0,0,0,0,0,3,0,4,70,68,12,0,5,19,0,2
3.1.2,7,0,0,0,9,15,7,8,10,0,0,10,0,0,0,5,0,1,0,0,0,0,3,0,4,71,69,12,0,5,19,0,2
3.1.3,7,0,0,0,9,15,7,8,10,0,0,10,0,0,0,5,0,1,0,0,0,0,3,0,4,70,68,12,0,5,19,0,2
